안익훈 (Ik-Hun Ahn),11347,올시즌,2024,LG,27,RF,0.01,0.09,4,7,7,6,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0.333,0.286,0.500,0.786,-0.026,78.0,0.10
송성문 (Sung-Moon Song),11376,올시즌,2024,키움,27,3B,2.26,0.49,59,225,225,195,29,65,10,2,8,103,42,1,0,23,1,0,24,2,0,6,0.333,0.396,0.528,0.924,0.055,139.9,2.75
오윤석 (Yoon-Seok Oh),11397,올시즌,2024,KT,31,2B,0.04,0.20,24,49,49,41,8,11,3,0,0,14,8,0,0,6,0,0,12,1,0,2,0.268,0.347,0.341,0.688,-0.033,73.1,0.24
이도윤 (Do-Yun Lee),11414,올시즌,2024,한화,27,SS,0.36,0.94,56,142,142,128,20,37,3,2,0,44,18,3,2,10,2,0,19,1,0,2,0.289,0.345,0.344,0.689,-0.011,89.4,1.30
전병우 (Byung-Woo Jeon),11422,올시즌,2024,삼성,31,3B,0.06,-0.02,8,20,20,17,1,4,2,0,0,6,1,0,0,2,1,0,8,0,0,0,0.235,0.350,0.353,0.703,-0.010,90.0,0.04
김웅빈 (Woong-Bin Kim),12503,올시즌,2024,키움,27,DH,-0.12,-0.01,6,18,17,13,1,1,0,0,0,1,1,0,0,3,1,0,6,0,1,0,0.077,0.294,0.077,0.371,-0.102,24.8,-0.13
이형종 (Hyeong-Jong Lee),12516,올시즌,2024,키움,34,RF,0.93,0.00,21,87,87,71,18,19,3,0,4,34,17,1,0,15,1,0,17,0,0,0,0.268,0.402,0.479,0.881,0.057,141.3,0.93
박준영 (Jun-Young Park),12522,올시즌,2024,두산,26,SS,0.35,0.54,34,118,117,99,16,21,5,1,4,40,14,0,0,15,2,0,32,0,1,1,0.212,0.325,0.404,0.729,-0.005,94.0,0.89
서예일 (Ye-Il Seo),12523,올시즌,2024,두산,30,3B,-0.09,0.02,15,14,14,14,1,4,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0.286,0.286,0.286,0.572,-0.092,28.0,-0.06
조수행 (Su-Haeng Cho),12524,올시즌,2024,두산,30,LF,0.86,0.45,59,179,172,154,32,44,2,1,0,48,11,33,3,17,0,1,19,1,7,1,0.286,0.355,0.312,0.667,-0.021,82.8,1.31
최원준 (Won-Jun Choi),12534,올시즌,2024,KIA,26,CF,1.01,-0.03,61,228,226,206,27,60,13,2,3,86,26,13,6,18,2,0,35,5,2,0,0.291,0.354,0.417,0.771,0.006,102.6,0.98
이진영 (Jin-Young Lee),12539,올시즌,2024,한화,26,CF,-0.09,0.10,23,63,63,55,9,11,4,0,0,15,8,0,0,6,2,0,18,1,0,0,0.200,0.302,0.273,0.575,-0.065,49.0,0.01
김규성 (Kyu-Sung Kim),12540,올시즌,2024,KIA,26,SS,0.12,-0.19,6,4,4,2,1,1,1,0,0,2,2,0,0,2,0,0,1,0,0,0,0.500,0.750,1.000,1.750,0.317,339.0,-0.07
김주성 (Ju-Sung Kim),12545,올시즌,2024,LG,25,3B,-0.02,0.04,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.295,-126.1,0.02
홍창기 (Chang-Ki Hong),12546,올시즌,2024,LG,30,RF,3.08,-0.02,62,284,283,220,49,73,4,3,3,92,33,7,5,55,6,2,40,5,1,2,0.332,0.473,0.418,0.891,0.069,150.0,3.06
김동엽 (Dong-Yub Kim),12548,올시즌,2024,삼성,33,DH,-0.01,0.00,6,14,13,11,1,2,1,0,0,3,2,0,0,1,1,1,5,0,0,1,0.182,0.286,0.273,0.559,-0.041,69.1,-0.01
